Title,Released Year,Scores,Adjusted Score,Info,Synopsis,Director,Cast
First Blood,1982,86,90762,"Much darker and more sensitive than the sequels it spawned,",Vietnam veteran and drifter John J. Rambo (Sylvester Stallone) wanders into a small Washington town in search of an old...,Ted Kotcheff,"Sylvester Stallone, Richard Crenna, Brian Dennehy, David Caruso"
Mission: Impossible Rogue Nation,2015,94,110066,,"With the IMF now disbanded and Ethan Hunt (Tom Cruise) out in the cold, a new threat -- called the...",Christopher McQuarrie,"Tom Cruise, Jeremy Renner, Simon Pegg, Rebecca Ferguson"
The Terminator,1984,100,106142,"With its impressive action sequences, taut economic direction, and relentlessly fast pace, it's clear why","Disguised as a human, a cyborg assassin known as a Terminator (Arnold Schwarzenegger) travels from 2029 to 1984 to kill...",James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield"
Gladiator,2000,80,90672,While not everyone will be entertained by,"Commodus (Joaquin Phoenix) takes power and strips rank from Maximus (Russell Crowe), one of the favored generals of his predecessor...",Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed"
Kill Bill: Vol. 1,2003,85,93385,,"A former assassin, known simply as The Bride (Uma Thurman), wakes from a coma four years after her jealous ex-lover...",Quentin Tarantino,"Uma Thurman, Lucy Liu, Vivica A. Fox, Michael Madsen"
The Professional,1994,74,78439,Pivoting on the unusual relationship between seasoned hitman and his 12-year-old apprentice -- a breakout turn by young Natalie Portman -- Luc Besson's,"Mathilda (Natalie Portman) is only 12 years old, but is already familiar with the dark side of life: her abusive...",Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello"
Speed,1994,95,100262,"A terrific popcorn thriller,",Los Angeles police officer Jack (Keanu Reeves) angers retired bomb squad member Howard Payne (Dennis Hopper) by foiling his attempt...,Jan de Bont,"Keanu Reeves, Dennis Hopper, Sandra Bullock, Joe Morton"
Drunken Master II,1994,84,89592,Jackie Chan sends up some amazing and entertaining fight sequences in The Legend of Drunken Master.,"From a land where honor and tradition reign, comes the legend of a martial-arts hero unlike any other -- the...",Chia-Liang Liu,"Jackie Chan, Ti Lung, Anita Mui, Chia-Liang Liu"
John Wick,2014,86,96419,"Stylish, thrilling, and giddily kinetic,",Legendary assassin John Wick (Keanu Reeves) retired from his violent career after marrying the love of his life. Her sudden...,Chad Stahelski,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe"
"Crouching Tiger, Hidden Dragon",2000,98,104641,"The movie that catapulted Ang Lee into the ranks of upper echelon Hollywood filmmakers,","In 19th century Qing Dynasty China, a warrior (Chow Yun-Fat) gives his sword, Green Destiny, to his lover (Michelle Yeoh)...",Ang Lee,"Chow Yun-Fat, Michelle Yeoh, Zhang Ziyi, Chang Chen"
Predator,1987,80,85227,,"Dutch (Arnold Schwarzenegger), a soldier of fortune, is hired by the U.S. government to secretly rescue a group of politicians...",John McTiernan,"Arnold Schwarzenegger, Carl Weathers, Jesse Ventura, Elpidia Carrillo"
The Bourne Ultimatum,2007,92,102824,,Jason Bourne (Matt Damon) continues his international quest to uncover his true identity. From Russia to Europe to northern Africa...,Paul Greengrass,"Matt Damon, Julia Stiles, Joan Allen, David Strathairn"
Total Recall,1990,82,88139,"Under Paul Verhoeven's frenetic direction, Total Recall is a fast-paced rush of violence, gore, and humor that never slacks.",Douglas Quaid (Arnold Schwarzenegger) is a bored construction worker in the year 2084 who dreams of visiting the colonized Mars....,Paul Verhoeven,"Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Ronny Cox"
Mad Max 2: The Road Warrior,1981,93,98301,,"After avenging the death of his wife and young son at the hands of a vicious gang leader, Max (Mel...",George Miller,"Mel Gibson, Bruce Spence, Emil Minty, Vernon Wells"
Heat,1995,83,94626,"Though Al Pacino and Robert De Niro share but a handful of screen minutes together,","Master criminal Neil McCauley (Robert De Niro) is trying to control the rogue actions of one of his men, while...",Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight"
The Raid: Redemption,2011,87,93623,"No frills and all thrills,","A rookie member of an elite team of commandos, Rama (Iko Uwais) is instructed to hang back while his comrades-in-arms...",Gareth Evans,"Iko Uwais, Joe Taslim, Donny Alamsyah, Yayan Ruhian"
Mission: Impossible - Fallout,2018,97,121833,"Fast, sleek, and fun,",Ethan Hunt and the IMF team join forces with CIA assassin August Walker to prevent a disaster of epic proportions....,Christopher McQuarrie,"Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg"
Raiders of the Lost Ark,1981,93,108455,"Featuring bravura set pieces, sly humor, and white-knuckle action,","Dr. Indiana Jones, a renowned archeologist and expert in the occult, is hired by the U.S. Government to find the...",Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman, Wolf Kahler"
